Name,Phone,Address,City,State,Zip,County,Age
Spectrum Grandparents Support Group,770-617-8775,P.O. Box 3132,Suwanee,GA,30024,Gwinnett,21+
"Spectrum Life Services, LLC",(678) 775-8977,P.O. Box 2411,"Duluth,",GA,30096,Gwinnett,21+
Spirit of Autism,404-939-6211,3924 Barr Circle,Tucker,GA,30084,DeKalb,21+
"Spirit of Autism, LLC",(404) 939-6211,3924 Barr Circle,Tucker,GA,30084,DeKalb,21+
Summit Trail Therapeutic Services,(706) 383-9989,40 Highland Cir,Blue Ridge,GA,30513,Fannin,21+
Talisman Summer Camp Programs,(855) 588-8254,Talisman Programs 64 Gap Creek Road,Zirconia,NC,28790,,21+
Talk About Curing Autism (TACA),949-640-4401,"TACA National Office 2222 Martin St., Suite 140",Irvine,CA,,,21+
Talk About Curing Autism (TACA-Georgia Chapter),678-513-1200,"The Hyperbaric Therapy Center 104 Colony Park Drive, Ste 500",Cumming,GA,,Forsyth,21+
Taylor's Time,678-390-2611,4514 Chamblee Dunwoody Road Suite 417,Atlanta,GA,30338,DeKalb,21+
Teresa Conner,(229) 319-8910,,,GA,,Tift,21+
The Art of Living,(770) 733-1274,4892 North Royal Atlanta Drive,Tucker,GA,30084,DeKalb,21+
The Autistic Self Advocacy Network,,P.O. Box 66122,Washington,DC,,,21+
The Growing Place,(404) 862-6525,2700 Northeast Expressway NE Suite A110,Atlanta,GA,30345,Fulton,21+
The Handle Institute,(206) 909-6028,P.O. Box 493735,Redding,CA,96049,,21+
The Kiss Foundation,678-698-3986,3165 Henderson Walk,Atlanta,GA,30340,DeKalb,21+
The Lighthouse School,(770) 632-7100,116 Peachtree Court,Peachtree City,GA,30629,Fayette,21+
The Mosaic Project,770-314-1111,664 Crescent Ridge Trail,Mabelton,GA,,Cobb,21+
The New Normal Society,404-861-0337,,,GA,,Fulton,21+
"The Orchard Human Services, Inc.",(770) 686-0894,Serving the greater Metro Atlanta area,Atlanta,GA,,,21+
"The Struggle WithIN, Inc",(470) 203-0921,P.O.Box 51463,ALBANY,GA,31705,Dougherty,21+
Threshold Community Program,404-308-8548,308 Clairemont Avenue,Decatur,GA,30030,DeKalb,21+
Toombs ARC,(912) 526-6145,PO Box 27,Lyons,GA,30436,Toombs,21+
Touch the Future,(864) 367-0831,"100 Construction Way, Unit 1",Anderson,SC,29625,,21+
TrainingRx,770-324-3630,21 Guest House Ct. SE,Rome,GA,30161,Floyd,21+
"Triad Psych, P.C. - Marietta",470-338-3488,316 Alexander Street Suite 6,Marietta,GA,30060,Cobb,21+
Trusty Behavioral Services,(470) 219-8271,5130 Peachtree Blvd.,Chamblee,GA,30341,DeKalb,21+
Vanessa Gordon,(352) 284-0525,PO Box 1948,Stone Mountain,GA,30086-1948,DeKalb,21+
View Point Health - Gwinnett,(678) 209-2411,175 Gwinnett Drive,Lawrenceville,GA,30046,,21+
Viewpoint Health,(678) 209-2411,"175 Gwinnett Drive, Suite. 260",Lawrenceville,GA,30046,Gwinnett,21+
Waves Autism Center,(478) 733-2597,"1000 Corporate Pointe,Suite 101",Warner Robins,Ga,31088,Houston,21+
"Wilkinson Service Center, Inc.",(478) 628-2777,113 Solomon St.,Gordon,GA,31031,Wilkinson,21+
Wilturn Personal Care Home (Lawrenceville),770-935-1511,2775 Cruse Road Suite 501,Lawrenceville,GA,,Gwinnett,21+
Word Rehab Inc.,(678) 850-0571,424 W Taylor Street,Griffin,GA,30224,Spalding,21+
"WOW In-Sync, Inc",(770) 939-1100 EXT 102,"2137 Flintstone Dr., Suite E,",Tucker,GA,30084,DeKalb,21+
"Wynsum Arts, LLC",425-985-3052,"5529-B Chamblee Dunwoody Road, Suite 122",Atlanta,GA,,DeKalb,21+
24/7 Autism,706-331-0145,P.O. Box 2161,Rome,GA,30164,Floyd,3 to 5
A to Z Pediatric Therapy,(678) 733-9318,"5825 Glenridge Dr. Building 1, Suite 133",Atlanta,GA,30328,Fulton,3 to 5
A-Skate Foundation,(205) 862-6822,2328 2nd Avenue North,Birmingham,AL,35203,,3 to 5
"ABA Unlimited, LLC",(478) 313-5093,1000 Corporate Pointe Ste. 109,Warner Robins,GA,31088,Houston,3 to 5
ABC Pediatric Therapy Services,404-556-5554,2655 Dallas Highway Suite 320,Marietta,GA,30064,Cobb,3 to 5
Albany Advocacy Resource Center (ARC),229-888-6852,3005 Old Dawson Road,Albany,GA,31721,Dougherty,3 to 5
All About Learning Tutorial Service,(770) 912-1124,3155 Mill Street,Covington,GA,30014,Newton,3 to 5
All Kids First USA,(770) 558-6055,4720 Peachtree Industrial Blvd Suite 301 & 305,Berkeley Lake,GA,30071,Gwinnett,3 to 5
"All Kids First, LLC",(404) 394-3382,"1509 Atkinson Road, Suite #2200",Lawrenceville,GA,30043,Gwinnett,3 to 5
Ameri-Kan Karate,770-388-9858,WorldClass American Karate 1680 Dogwood Drive Suite,Conyers,GA,30013,Rockdale,3 to 5
Amy Jefferson - Behavior Specialist,(770) 424-0207,"2903 Auburn Ct SW Marietta, GA 30064",Marietta,GA,30064,Cobb,3 to 5
Anna Shaw Children’s Institute,706-226-8900,1201 Burleyson Road,Dalton,GA,30722-1168,Whitfield,3 to 5
Apollo Behavior Services,(404) 941-6201,"5050 Research CT, Suite 125",Suwanee,Georgia,30024,Forsyth,3 to 5
Appleseeds Learning Center,(770) 627-2267,2933 Cherokee Street NW,Kennesaw,GA,30144,Cobb,3 to 5
"Applied Behavioral Consulting, LLC",770-609-8777,,,GA,,Gwinnett,3 to 5
"Applied Behavioral Consulting, LLC - Athens",(770) 609-8777,"1060 Gaines School Rd. Suite C-2,",Athens,GA,30605,Clarke,3 to 5
Art It Out Therapy Center - Atlanta,(770) 989-1300,"4300 Paces Ferry Rd, Suite 357",Atlanta,GA,30339,Cobb,3 to 5
Ascend Neurology - Atlanta,(404) 256-3535,5505 Peachtree Dunwoody Road Suite 500,Atlanta,GA,30342,Fulton,3 to 5
Assistance Dogs for Autism,,145 Foxfield Drive,Harmony,NC,28634,,3 to 5
"Assured Relief Home Care, LLC.",(678) 272-7202,"820 Pavilion Ct, Suite D",McDonough,GA,30253,Henry,3 to 5
Atlanta Autism Center,(833) 628-8476,6450 Spalding Drive Suite B,Peachtree Corners,GA,30092,Fulton,3 to 5
Atlanta Hyperbaric Center,(770) 948-4511,654 Windy Hill Rd. SE,Smyrna,GA,30080,Cobb,3 to 5
Augusta Autism and Disability Support Group,,"Wesley United Methodist Church, 825 N Belair Road",Evans,GA,30809,Columbia,3 to 5
Ausomely Included,(470) 400-9301,,,,,Coweta,3 to 5
"Autism and Developmental Center, Navicent Health",478-633-8100,"Autism and Developmental Center, Navicent Health 1014 Forsyth Street Macon, GA 31201",Macon,GA,31201,Bibb,3 to 5
Autism Hope Center,706-604-6333,PO Box 6028,Columbus,GA,31917,Muscogee,3 to 5
Autism in Bartow,,,Cartersville,GA,,Bartow,3 to 5
Autism in Georgia,404-536-8244,6340 Cedar Crest Road,Acworth,GA,,Cobb,3 to 5
Autism Learning Partners - Cumming,(818) 241-6780,160 Clairemont Avenue Suite 625,Decatur,GA,30030,DeKalb,3 to 5
Autism Learning Partners - Dekalb,(678) 280-7779,160 Clairemont Avenue,Decatur,GA,30030,DeKalb,3 to 5
Autism Parent Support Group,(229) 344-1501,Albany ARC Training Center 1319 West Broad Avenue,Albany,GA,31708,Dougherty,3 to 5
Autism Research Institute,619-281-7165,4182 Adams Avenue,San Diego,CA,92116,,3 to 5
Autism Resource Center,,528 Chaucer Way,Stockbridge,GA,30281,Henry,3 to 5
Autism Society Georgia,(770) 852-0266,"8343 Roswell Rd., Suite 339",Atlanta,GA,30350,Fulton,3 to 5
Autism Society of America,(800) 328-8476,4340 East-West Highway Suite 350,Bethesda,MD,20814,,3 to 5
Autism Society of America Scholarship,301/657-0881,2012 Autism Society Awards 4340 East West HighwaySuite 350,Bethesda,MD,,,3 to 5
Autism Speaks,212-252-8584,1 East 33rd Street 4th floor,New York,NY,10016,,3 to 5
Autism Speaks - Georgia Regional Office,770-451-0570,900 Circle 75 Parkway Suite 445,Atlanta,GA,3039,Cobb,3 to 5
Autistic Self Advocacy Atlanta,(404) 444-0731,Autistic Self Advocacy Network PO Box 66122,Washington,DC,20035,,3 to 5
Avita Autism Services,(678) 513-5725,4331 Thurmon Tanner Parkway,Flowery Branch,GA,30542,Hall,3 to 5
Avita Community Partners (Forsyth),678-341-3840,125 North Corners Parkway,Cumming,GA,30040,Forsyth,3 to 5
Avita Community Partners (Habersham),706-894-3750,196 Stoggins Drive,Demorest,GA,30528,Habersham,3 to 5
Avita Community Partners (Stephens),(706) 282-4542,1763 Fernside Drive,Toccoa,GA,30577,Stephens,3 to 5
Avita Community Partners (Towns),706-745-5911,76 Martin Street Suite A,Blairsville,GA,30582,Towns,3 to 5
Avita Community Partners (Union),706-745-5911,76 Hunt Martin Street Suite A,Blairsville,GA,30512,Union,3 to 5
Avita Community Partners - Administrative Office,678-513-5700,4331 Thurmond Tanner Parkway,Flowery Branch,GA,30542,Hall,3 to 5
Balance Atlanta Family Chiropractic,(404) 261-4848,60 Pharr Road Lower Level 101,Atlanta,GA,,Fulton,3 to 5
BCG Learning Center,770-565-9979,1855 Piedmont Road Suite 100,Marietta,GA,30066,Cobb,3 to 5
"Beckhom Behavioral Consulting, LLC",(229) 439-9951,1509 West 3rd Avenue,Albany,GA,31707,Dougherty,3 to 5
Behavior Analysis and Intervention Center,(404) 565-4344,P.O. Box 1602,Powder Springs,GA,30127,Cobb,3 to 5
Behavior Frontiers,(888) 922-2843,"100 Bull Street, Suite 200",Savannah,GA,31401,Chatham,3 to 5
Behavior Health and Wellness Center,(678) 395-5333,"2302 Parklake Drive, Suite 121",Atlanta,GA,30345,Fulton,3 to 5
Behavior Management Consultants,(904) 619-8430,,Valdosta,GA,,Lowndes,3 to 5
Behavioral Institute of Atlanta,(404) 256-9325 ext. 725,6000 Lake Forrest Drive Suite 103,Atlanta,GA,30328,Fulton,3 to 5
Best Buddies - Emory,,,,GA,,DeKalb,3 to 5
Beyond Words Center,404/633-0250 X 701,"1762 Century Boulevard, NE Suite B",Atlanta,GA,30345,DeKalb,3 to 5
BLP2 Family Network,(678) 353-8599,14 Pine Tree Circle,Decatur,GA,30032,DeKalb,3 to 5
"Blue Ribbon Riders, Inc.",706-854-0644,987 Reynolds Farm Rd P.O. Box 828,Grovetown,GA,30813,Columbia,3 to 5
"Blue Skies ABA, Inc",(706) 946-0466,"2800 Scenic Dr., Ste 12",Blue Ridge,Georgia,30513,Fannin,3 to 5
Bobby Dodd Institute,(678) 365-0071,2120 Marietta Blvd NW,Atlanta,GA,30318,Fulton,3 to 5
Brain Balance Achievement Center of Roswell,(770) 650-8010,30 East Crossville Road,Roswell,GA,30075,Fulton,3 to 5
Brain Gym,770-313-3622,,Alpharetta,GA,,Fulton,3 to 5
Brain Gym,706-580-2681,,Colymbus,GA,,Muscogee,3 to 5
Brain Gym,706-742-2009,,Winterville,GA,,Clarke,3 to 5
Brain Gym,478-474-9536,,Macon,GA,,Bibb,3 to 5
Brainjogging Camp Academia,706-884-4492,1507 Vernon Road,LaGrange,GA,30240,Troup,3 to 5
Brecht Stables & Dustin's Place,(678) 644-5243,6737 Concord Road,Cumming,GA,30028,Forsyth,3 to 5
"BT Solutions, LLC",678 671-9594,4744- A North Royal Atlanta Drive,Tucker,GA,30084,DeKalb,3 to 5
Butterfly Effects,(888) 880-9270,300 Colonial Center Parkway Suite 100 N,Roswell,GA,30076,Fulton,3 to 5
CABS ABA Therapy & Autism Services - Rome,(800) 844-1232,316 W. 10th Street,Rome,GA,30161,Floyd,3 to 5
CABS ABA Therapy & Autism Services - Savannah,(800) 844-1232,107 Southern Blv. Ste. 201,Savannah,GA,31405,Chatham,3 to 5
Calhoun Autism Network,(770) 608-2822,"Echota Baptist Church, 35 College Circle",Calhoun,GA,,Gordon,3 to 5
Calvin Center Recreational and Therapeutic Riding,770-946-4276 x222,13550 Woolsey Road,Hampton,GA,,Henry,3 to 5
Camp Hollywood (Metro),(770) 234-9111,3825 Presidential Parkway Suite 103,Atlanta,GA,30340,DeKalb,3 to 5
Camp Yofi - Family Camp,(404) 531-0801,"Camp Ramah Darom 6400 Powers Ferry Road NW, Suite 215",Atlanta,GA,30339,Fulton,3 to 5
CareStar,(478) 314-7770,Northside Square Office Park 3312 Northside Drive Suite A140,Macon,GA,31210,Bibb,3 to 5
Carl McKinney,,1718 Rosewood Drive,Griffin,GA,,Spalding,3 to 5
"Carol Weber, Ph.D.",(404) 257-0254,80 West Wieuca Road NW Suite 100,Atlanta,GA,30342,Fulton,3 to 5
Carroll County Family Developmental Disability (CCFDD),404-451-8105,239 Martin Road,Carrollton,GA,30116,Carroll,3 to 5
Center for New Beginnings,706-437-0505,727 West 6th Street,Waynesboro,GA,30830,Burke,3 to 5
Center for New Beginnings - North Clinic,(706) 526-2025,478 Columbia Industrial Blvd,Evans,Georgia,30809,Columbia,3 to 5
Center for New Beginnings - South Clinic,(706) 437-0505,610 North Masonic Street,Millen,Georgia,30442,Jenkins,3 to 5
Center for Psychological & Educational Assessment,770-352-9952,54 South Avenue,Marietta,GA,30060,Cobb,3 to 5
Central Georgia Autism Support Group Inc.,478-956-4204,210 Castlegate Road,Macon,GA,,Bibb,3 to 5
Centralized Katie Beckett Medicaid,678-248-7449,"Right From The Start Medicaid Project 5815 Live Oak Parkway, Suite D",Nocross,GA,,Gwinnett,3 to 5
"Cerebral Matters, LLC",404-493-0962,"6100 Lake Forrest Drive, NW Suite 108",Atlanta,GA,,Fulton,3 to 5
ChanceLight Autism Services Athens,(706) 389-1146,135 Athens West Pkwy Ste C,Athens,GA,30606,Clarke,3 to 5
ChanceLight Autism Services Augusta,(762) 222-7629,3830 Washington Rd Ste 2,Martinez,GA,30907,Columbia,3 to 5
ChanceLight Autism Services Decatur,(678) 973-1680,1549 Clairmont Road,Decatur,GA,30033,DeKalb,3 to 5
ChanceLight Autism Services Dunwoody,(404) 480-3842,"5488 Chamblee Dunwoody Road, Suite 7",Dunwoody,GA,30338,Fulton,3 to 5
ChanceLight Autism Services Macon,(478) 845-5415,1760 Bass Road,Macon,GA,31201,Bibb,3 to 5
ChanceLight Autism Services Marietta,(678) 905-0840,1511 Johnson Ferry Road,Marietta,GA,30062,Cobb,3 to 5
ChanceLight Autism Services McDonough,(770) 615-6202,1233 Eagles Landing Pkwy Suites A/B,Stockbridge,GA,30281,Henry,3 to 5
ChanceLight Autism Services Savannah,(912) 988-1444,613 Stephenson Ave Ste 206,Savannah,GA,31405,Chatham,3 to 5
ChanceLight Autism Services Warner Robins,(478) 225-3880,820 Duke Ave,Warner Robins,GA,31093,Houston,3 to 5
Chastain Horse Park Summer Camp,(404) 252-4244 ext. 1,4371 Powers Ferry Road,Atlanta,GA,30327,DeKalb,3 to 5
Chattahoochee Valley ASD Study Committee,(509) 929-6449,,,GA,,Fayette,3 to 5
Children and Family Programs at KSU,(470) 578-2233,Kennesaw State University 402 Bartow Avenue,Kennesaw,GA,30144-5591,Cobb,3 to 5
Childrens at Hughes Spalding Developmental and Behavioral Pediatrics,(404) 785-9695,"35 Jesse Hill Jr Drive SE, 2nd Floor",Atlanta,GA,30303,Fulton,3 to 5
Christy Kennedy,404 378-5734,234 East Parkwood Road,Decatur,GA,30030,DeKalb,3 to 5
Circus Arts Institute - Circus Arts Social Summer,(404) 549-3000,1190 North Highland Ave. NE P.O. Box #8352,Atlanta,GA,30306,DeKalb,3 to 5
Circus Arts Therapy,(404) 549-3000,2969 East Ponce De Leon Avenue; Suite 370,​Decatur,GA,30030​,DeKalb,3 to 5
City of Roswell - Therapeutic Recreation Program,770-641-3950,"38 Hill Street, Suite 100",Roswell,GA,30075,Fulton,3 to 5
"Clay White, LLC Therapeutic Programs",770-393-3939,PO Box 567042,Atlanta,GA,31156,Fulton,3 to 5
Clayton County Community Service Board,844-438-2778,157 Smith Street,Jonesboro,GA,30236,Clayton,3 to 5
Clayton County Schools Low Incidence/Autism Specialist,(404) 484-4222,1058 Fifth Avenue,Jonesboro,GA,30236,Clayton,3 to 5
Cobb Autism Support,404.987.253,"Spectrum Psychological Services. 2551 Roswell Road, Suite 525",Marietta,GA,30062,Cobb,3 to 5
Columbus Community Services (Southwest),229-435-3212,235 Roosevelt Avenue Suite 455,Albany,GA,31701,Dougherty,3 to 5
"Communication Interventions, Inc.",(404) 720-4278,2025 Cogar drive,Decatur,GA,30032,DeKalb,3 to 5
Community Autism Program (CAP Program),404-785-9350,Marcus Institute 1920 Briarcliff Road,Atlanta,GA,,DeKalb,3 to 5
Community Service Board of Middle Georgia,(478) 272-1190,2121 A Bellevue Road,Dublin,GA,31021,Laurens,3 to 5
Compass Behavioral & Developmental Consultants LLC - Hinesvilles,(800) 832-9419 ext 1,"740 East General Stewart Way, Suite 108",Hinesville,GA,31313,Liberty,3 to 5
Compass Behavioral & Developmental Consultants LLC - Thomas,(800) 832-9419 Ext. 1,602 Victoria Place Suite A,Thomasville,Ga,31792,Thomas,3 to 5
Compass Behavioral & Developmental Consultants LLC - Valdosta,(229) 412-8866,2225 Bemiss Rd Suite D,Valdosta,GA,31602,Lowndes,3 to 5
Compass Behavioral & Developmental Consultants LLC -Warner Robins / Macon Area,(800) 832-9419 Ext. 1,402 Corder Rd Suite 400,Warner Robins,GA,31033,Houston,3 to 5
"Compass Coordination, Inc.",(678) 372-6626,1124 N. Tennessee Street Suite 103,Cartersville,GA,30120,Bartow,3 to 5
Connections for Special Parents,(706) 436-6756,56 Franklin Springs Circle,Royston,GA,30662,Franklin,3 to 5
Cora Lee Institute,770-634-2349,"3080 Highlands Pkwy SE, Suite A",Smyrna,GA,30082,Cobb,3 to 5
Core Health Provider Services,(678) 772-7415,"2131 Kingston Court, Suite 108",Marietta,GA,30060,Cobb,3 to 5
Core Therapy Services - Fayette,(678) 626-0557,"100 Glendalough Court, Suite A",Tyrone,GA,30290,Fayette,3 to 5
Corral,770-254-0840,"Coweta Organization for Riding, Rehabilitation and Learning 21 Oliver Potts Road",Newnan,GA,30263,Coweta,3 to 5
Creative Behavior Consulting,(570) 982-9436,342 The Chace,Sandy Springs,GA,30328,Fulton,3 to 5
Crystal Jordan,(404) 468-2164,,Atlanta,GA,30311,Fulton,3 to 5
CSRA Therapy Services,(706) 592-5565,Post Office Box 537,Hephzibah,GA,30815,Richmond,3 to 5
CSS Healthcare Services-Developmental Disabilities Program,770-302-1383 X 106,8896 Tara Boulevard # 200,Jonesboro,GA,30236,Clayton,3 to 5
DBHDD Region 3 Office,(404) 244-5050,3073 Panthersville Road. Building 10,Decatur,GA,30034,DeKalb,3 to 5
DBHDD Region 5 Office,(912) 303-1670,1915 Eisenhower Drive Building 2,Savannah,GA,31406,Chatham,3 to 5
DBHDD Region 6 Office,(706) 565-7835,3000 Schatulga Road Building 4,Columbus,GA,31907,Muscogee,3 to 5
Developing Minds Treatment Center - Dekalb,(478) 238-4774,220 Ponce de Leon Place,Decatur,GA,30030,DeKalb,3 to 5
Developing Minds Treatment Center - Macon,(478) 238-4774,"1760 Bass Rd, Suite 101",Macon,GA,31210,Bibb,3 to 5
"Developmental Crossroads, LLC",770-428-1128,2854 Johnson Ferry Road Suite 150,Marietta,GA,,Cobb,3 to 5
Developmental Neurology Program,(404) 785-5424,"Advanced Pediatrics 1400 Tullie Road NE, Suite 300",Atlanta,GA,30329,DeKalb,3 to 5
Developmental Neurology Program - Scottish Rite Hospital,(404) 785-5424,1001 Johnson Ferry Road NE,Atlanta,GA,30342,Fulton,3 to 5
Dr. Donald W. Bowling,(404) 231-5437,11285 Enkins Road,Roswell,GA,30076,Fulton,3 to 5
Dr. Elizabeth Young,(478) 633-8100,Autism Development Center 1014 Forsyth Street,Macon,GA,31201,Bibb,3 to 5
Dr. June Kaufman,(678) 944-7670,1244 Clairmont RD NE,Decatur,GA,30030,DeKalb,3 to 5
Dr. Michael R. Johns,(478) 633-8100,1014 Forsyth Street,Macon,Ga,31201,Bibb,3 to 5
Dr. Sandy Wilson,770-251- 5873,"Lighthouse Counseling Center, PC 121 Jackson Street",Newnan,GA,30263,Coweta,3 to 5
Dr. Sara Mahan,(770) 452-5353,"1745 Old Spring House Lane, Suite 415",Dunwoody,GA,30338,Fulton,3 to 5
Dr. Shital Gaitonde,(918) 691-1237,1003 Bombay Lane,Roswell,GA,30076,Fulton,3 to 5
DreamPower Therapeutic Equestrian Center,770-720-1910,123 Equest Drive,Canton,GA,,Cobb,3 to 5
Dreamworks Children's Therapy Network,678-424-8267,620 E. Powder Springs Street,Smyrna,GA,30080,Cobb,3 to 5
Dynamic Therapy Associates,770-974-2424,3105 Creekside Village Drive Suite 604,Kennesaw,GA,30144,Cobb,3 to 5
DynaVox Mayer-Johnson,770.283.7862,130 Arizona Avenue #412,Atlanta,GA,30307,DeKalb,3 to 5
Early Autism Services,(404) 490-2051,,,,,,3 to 5
Early Bird's ABA,(770) 596-3828,,,,,,3 to 5
Early Emory - Emory Autism Preschool,(404) 727-3964,Emory University 1551 Shoup Court,Atlanta,GA,30322,DeKalb,3 to 5
"Easter Seals Southern Georgia, Inc.",(229) 439-7062,1906 Palmyra Road,Albany,GA,31701,Dougherty,3 to 5
Effingham Satellite -Gateway Community Serv. Board,912/754-3030,P.O. Box 1086 204 East Madison Avenue,Springfield,GA,31329,Effingham,3 to 5
eLuma online therapy,(877) 496-3332 x701,2801 N. Thanksgiving Way #170,Lehi,UT,84043,,3 to 5
Emory Autism Center,(404) 727-8350,The Justin Tyler Truax Building 1551 Shoup Court,Atlanta,GA,30322,DeKalb,3 to 5
ERIC Clearinghouse on Disabilities & Gifted Educa.,703/264-9474,Council for Exceptional Children 1920 Association Drive,Reston,VA,20191,,3 to 5
"Essential Communication, Inc.",770-817-0181,130 Prospect Place,Alpharetta,GA,30005,Fulton,3 to 5
Exceptional OPS,770-631-1035,P.O. Box 2151,Peachtree City,GA,,Fayette,3 to 5
Family And Friends of Children with Autism,,Washington Street Community Center P.O. Box 226,Covington,GA,,Newton,3 to 5
FAST - Family Autism Support Team,(229) 259-2571,1500 N. Patterson Street,Valdosta,GA,31698,Lowndes,3 to 5
First Step,(404) 585-5439,"101 Devant Street, Suite 401",Fayetteville,GA,30214,Fayette,3 to 5
Floor Time Atlanta,404-373-8335,"Blackstone Centre 1777 NE Expressway, #175",Atlanta,GA,30329,DeKalb,3 to 5
Floor Time Therapy,678/570-5221,2261 Piedmont Forest Drive,Marietta,GA,,Cobb,3 to 5
FOCUS Respite - Alpharetta,770-234-9111,180 Academy Street,Alpharetta,GA,30009,Fulton,3 to 5
FOCUS Respite - Chamblee,770-234-9111,3304 Henderson Mill Road,Chamblee,GA,30340,DeKalb,3 to 5
Forsyth Autism & Special Needs Support Group,(770) 722-8925,The Vine Community Church 4655 Bethelview Road,Cumming,GA,30040,Forsyth,3 to 5
Ft. Benning Autism Support Group,(941) 979-2663,7117 Baltzell Avenue,Fort Benning,GA,31905,Chattahoochee,3 to 5
Fusion Autism Center - Athens,(866) 610-0580,"160 Caduceus Way, Building 600, Suite 101",Watkinsville,GA,30677,Clarke,3 to 5
Fusion Autism Center - Augusta,(762) 685-4340,1237 Augusta West Parkway,Augusta,Georgia,30909,Richmond,3 to 5
Fusion Autism Center - Cobb County,(470) 648-0510,137 Johnson Ferry Road Suite 2170,Marietta,GA,30068,Cobb,3 to 5
Fusion Autism Center - Cumming,(470) 253-4121,1664 Market Place Blvd.,Cumming,GA,30041,Forsyth,3 to 5
Fusion Autism Center - Dallas,(866) 610-0580,296 Merchants Square,Dallas,Georgia,30132,Paulding,3 to 5
Fusion Autism Center - Dekalb County,(866) 610-0580,"465 Winn Way, Suite 130 & 140",Decatur,Georgia,30030,DeKalb,3 to 5
Fusion Autism Center - Fulton County,(470) 387-0593,"1260 Upper Hembree Road, Suites D Suite 101",Roswell,GA,30076,Fulton,3 to 5
Fusion Autism Center - Gwinnett,(770) 847-7737,4390 Pleasant Hill Rd. GA,Duluth,GA,30096,Gwinnett,3 to 5
Fusion Autism Center - Hall,(470) 655-1970,5328 Lanier Islands Parkway Unit 101,Buford,GA,30518,Hall,3 to 5
Fusion Autism Center - Newman,(866) 610-0580,"2700 Highway 34 East, Building 100",Newnan,Georgia,30265,Coweta,3 to 5
Fusion Autism Center - Peachtree City,(770) 268-2798,100 Governors Trace Suite 101,Peachtree City,GA,30269,Fayette,3 to 5
Fusion Autism Center - Pooler,(866) 610-0580,"105 Grand Central Blvd., Suites 101",Pooler,Georgia,31322,Chatham,3 to 5
Fusion Autism Center - Stockbridge,(866) 610-0580,"11 North Park Trail, Suite #123",Stockbridge,Georgia,30281,Henry,3 to 5
Fusion Autism Center - Woodstock,(470) 499-2480,3229 S. Cherokee Lane Suite 1400,Woodstock,GA,30188,Cherokee,3 to 5
Gainesville/Hall County Autism Parent Support Group,678-898-6828,5426 Amber Cove Way,Flowery Branch,GA,30504,Hall,3 to 5
Georgia Autism Center,(770) 696-4384,"4046 Wetherburn Way, Ste. 1,",Peachtree Corners,GA,30092,Gwinnett,3 to 5
Georgia Autism Conferences,770-904-4474,,,GA,,Gwinnett,3 to 5
Georgia Autism Initiative,(404) 657-2850,"Georgia Department of Public Health 2 Peachtree Street, NW 11th Floor",Atlanta,GA,30303,Fulton,3 to 5
Georgia Autism Professionals,(678) 469-5835,1066 Sea oats Way,Lilburn,GA,30047,DeKalb,3 to 5
Georgia Behavior Specialists,(770) 630-0964,1401 Georgian Park Suite 220,Peachtree City,GA,30269,Fayette,3 to 5
Georgia Center for Autism and Developmental Pediatrics (GCADP),(404) 748-6013,"6065 Roswell Rd NE, Suite 470",Sandy Spring,GA,30328,Fulton,3 to 5
Georgia Crisis and Access Line (BHL),404-420-3202,"Behavioral Health Link 75 Piedmont Avenue, Suite 910",Atlanta,GA,,Fulton,3 to 5
Gerard Prep School,(770) 277-4722,263 Jackson Street,Lawrenceville,GA,30043,Gwinnett,3 to 5
"Girl Scouts of Middle Georgia, Inc.",(888) 689-1912,330 Drayton Street,Savannah,GA,31401,Bibb,3 to 5
Glenn-Nova Christian Academy,(770) 837-1953,5241 Rock Springs Road,Lithonia,GA,30058,DeKalb,3 to 5
GN Integrated Pediatric Therapy,678-513-3851,7635 Rock Shadow Court,Gainesville,GA,30506,Hall,3 to 5
Goal Point Behavior Group - Columbus,(706) 221-9629,"1921 Whittlesey Rd Suite 400,",Columbus,GA,31904,Muscogee,3 to 5
Goal Point Behavior Group - Warner Robins,(478) 225-2179,644 Tallulah Trail,Warner Robins,GA,31088,Houston,3 to 5
Golden Steps ABA,(706) 818-6211,3348 Peachtree Road NE Suite 700,Atlanta,GA,30326,Fulton,3 to 5
Great Intervention Teachings,912-572-1048,387 Fox Hollow Circle,Hinesville,GA,31313,Liberty,3 to 5
"Griffin Area Resource Center, Inc.",770/228-9919 x 22,P.O. Box 835 931 Hamilton Boulevard,Griffin,GA,30224,Spalding,3 to 5
"Hand, Hoof and Heart",(404) 971-8262,1580 Murdock Road,Marrietta,GA,30062,Cobb,3 to 5
Heart Song LLC,(678) 936-4269,605 West Avenue,Gainesville,GA,30501,Hall,3 to 5
Highland Rivers Center (Kaleidoscope),(706) 295-6425,6 Mathis Drive NW,Rome,GA,30165-7238,Floyd,3 to 5
Hopebridge - Camp Creek Autism Therapy Center,(770) 999-9271,"3800 Camp Creek Parkway SW, Building 1400",Atlanta,Georgia,30331,Fulton,3 to 5
Hopebridge Autism Therapy Center - Athens,(706) 449-0273,"1272 Virgil Langford Rd Suite 101,",Watkinsville,GA,30677,Oconee,3 to 5
Hopebridge Autism Therapy Center - Brookhaven,(470) 241-1353,3105 Clairmont Road,Atlanta,Ga,30329,Fulton,3 to 5
